Provider Id,Latitude,Longitude
10001,31.215391,-85.363372
10005,34.204556,-86.160565
10006,34.825819,-87.664912
10007,31.292574,-86.254436
10008,31.693827,-86.264249
10011,33.530651,-86.800929
10012,34.452834,-85.701505
10016,33.246702,-86.813699
10019,34.746043,-87.700355
10021,31.4511,-85.632426
10022,34.155075,-85.664515
10023,32.328457,-86.277826
10024,32.367637,-86.285027
10029,32.638118,-85.410194
10032,33.310626,-85.488721
10033,33.530651,-86.800929
10034,32.533936,-85.912266
10035,34.171754,-86.840307
10036,31.296004,-86.494555
10038,33.667762,-85.823868
10039,34.756007,-86.616034
10040,34.001949,-85.950382
10044,34.143089,-87.974299
10045,33.708544,-87.824662
10046,34.004263,-86.003347
10047,31.638635,-86.741762
10049,31.318384,-85.855215
10052,32.818588,-85.741261
10055,31.238104,-85.457115
10056,33.507132,-86.789069
10058,32.965791,-87.137883
10059,34.48327,-87.285085
10061,34.661437,-86.048186
10062,31.049297,-85.892129
